id_number,long_name,tank_number,treatment,inflow_table,date_time,date,time,fdom,fdom_conc,fdom_alt_name,fdom_cat,fdom_conc_norm,inflow
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_a,0.0064676241396417,UV-Humic,Humic,-0.0020668556365133596,0.00853447977615506
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_b,0.0753998902920884,Tyrosine,Proteinaceous,0.026729069516569004,0.0486708207755194
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_c,0.0039185362902906,Visible-Humic,Humic,-0.0013528470576650601,0.00527138334795566
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_m,0.0077888774689803,Marine Humic,Humic,-0.0022743345135714,0.0100632119825517
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_t,0.0367614195979669,Tryptophan,Proteinaceous,-0.0192398628519072,0.0560012824498741
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,m_to_c,0.503093841942747,m_to_c,Humic,-0.020733277777634007,0.523827119720381
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,bix,0.748852905468443,bix,Humic,0.07573583070934298,0.6731170747591
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,hix,0.39616000242599,hix,Humic,-0.006976918236026031,0.403136920662016
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,fpeak,0.0379634173538985,Phenylalanine,Proteinaceous,0.0068432351480191,0.0311201822058794
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,fi,1.90650117569898,Fluvic Acid,Humic,0.06296905169818001,1.8435321240008
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,lignin,0.0114261563605953,lignin,Other,-0.0344124343462997,0.045838590706895
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_a,0.0140560833208588,UV-Humic,Humic,0.00552160354470374,0.00853447977615506
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_b,0.115350395723193,Tyrosine,Proteinaceous,0.0666795749476736,0.0486708207755194
