id_number,long_name,tank_number,treatment,date_time,date,time,inflow_table,date_string,time_string,date_time_string,nutrient,conc,outlier,conc_norm
MOBEAST016,MOBEAST_T14_A_2024-06-02_1200,T14,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.07283164628,not outlier,-0.02304433091055555
MOBEAST016,MOBEAST_T14_A_2024-06-02_1200,T14,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.09468481985,not outlier,0.013308973845555558
MOBEAST016,MOBEAST_T14_A_2024-06-02_1200,T14,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.8292739088,not outlier,-0.3399136105529411
MOBEAST016,MOBEAST_T14_A_2024-06-02_1200,T14,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.5498964848,not outlier,0.07920717597777777
MOBEAST016,MOBEAST_T14_A_2024-06-02_1200,T14,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.46016835372000003,not outlier,-0.6375667802005556
MOBEAST017,MOBEAST_T15_C_2024-06-02_1200,T15,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.504,not outlier,-0.6896111111111112
MOBEAST017,MOBEAST_T15_C_2024-06-02_1200,T15,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.0994356111,not outlier,0.003559633909444457
MOBEAST017,MOBEAST_T15_C_2024-06-02_1200,T15,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,not outlier,-0.0043758460044444475
MOBEAST017,MOBEAST_T15_C_2024-06-02_1200,T15,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.7859255,not outlier,-0.383262019352941
MOBEAST017,MOBEAST_T15_C_2024-06-02_1200,T15,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.5184546127,not outlier,0.04776530387777783
MOBEAST017,MOBEAST_T15_C_2024-06-02_1200,T15,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.4045643889,not outlier,-0.6931707450205556
MOBEAST018,MOBEAST_T16_K_2024-06-02_1200,T16,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.388,not outlier,-0.8056111111111112
MOBEAST018,MOBEAST_T16_K_2024-06-02_1200,T16,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.08982130698,not outlier,-0.006054670210555543
MOBEAST018,MOBEAST_T16_K_2024-06-02_1200,T16,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,not outlier,-0.0043758460044444475
MOBEAST018,MOBEAST_T16_K_2024-06-02_1200,T16,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.01,not outlier,-1.159187519352941
MOBEAST018,MOBEAST_T16_K_2024-06-02_1200,T16,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.8778503431,not outlier,0.4071610342777778
MOBEAST018,MOBEAST_T16_K_2024-06-02_1200,T16,Coral,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.29817869302,not outlier,-0.7995564409005557
MOBEAST019,MOBEAST_F1_Inflow_2024-06-02_1800,F1,Inflow,2024-06-02T18:00:00Z,2024-06-02,18:00:00,Table 1,2024-06-02,18:00:00,2024-06-02 18:00:00,N_N,1.095,not outlier,0.11472222222222217
MOBEAST019,MOBEAST_F1_Inflow_2024-06-02_1800,F1,Inflow,2024-06-02T18:00:00Z,2024-06-02,18:00:00,Table 1,2024-06-02,18:00:00,2024-06-02 18:00:00,NO2,0.09008471257,not outlier,-0.023278469211666666
MOBEAST019,MOBEAST_F1_Inflow_2024-06-02_1800,F1,Inflow,2024-06-02T18:00:00Z,2024-06-02,18:00:00,Table 1,2024-06-02,18:00:00,2024-06-02 18:00:00,PO4,0.09447913233,not outlier,0.006797440350555559
MOBEAST019,MOBEAST_F1_Inflow_2024-06-02_1800,F1,Inflow,2024-06-02T18:00:00Z,2024-06-02,18:00:00,Table 1,2024-06-02,18:00:00,2024-06-02 18:00:00,SiO2,0.01,not outlier,-0.07673496335555555
MOBEAST019,MOBEAST_F1_Inflow_2024-06-02_1800,F1,Inflow,2024-06-02T18:00:00Z,2024-06-02,18:00:00,Table 1,2024-06-02,18:00:00,2024-06-02 18:00:00,NH3,0.2552340205,not outlier,-0.07733375205294118
